number,value,datetime_start,datetime_complete,duration,params_colsample_bylevel,params_colsample_bytree,params_gamma,params_learning_rate,params_max_delta_step,params_max_depth,params_min_child_weight,params_reg_alpha,params_reg_lambda,params_subsample,user_attrs_auc,user_attrs_logloss,user_attrs_mean_best_iter,state
22,0.8164040032209824,2026-04-24 01:25:36.196453,2026-04-24 01:25:38.806117,0 days 00:00:02.609664,0.7052904496069382,0.8791886572858203,2.8736333998149783,0.04687852101881929,2,5,1,0.1207076726157197,0.2952016481996382,0.9159590888400029,0.9045828267006581,0.38073858269476824,552.6,COMPLETE
23,0.817784424249396,2026-04-24 01:25:38.808562,2026-04-24 01:25:43.519610,0 days 00:00:04.711048,0.709955962876734,0.9424138306516511,1.953248211241033,0.025533440312050393,4,4,4,0.015157684767903508,9.95118695593525,0.8026389766486332,0.9050346539396659,0.38049980163916913,964.6,COMPLETE
24,0.8147935120211665,2026-04-24 01:25:43.521578,2026-04-24 01:25:48.235462,0 days 00:00:04.713884,0.8077610048817694,0.8398222689806586,0.8678952857115798,0.03449531155145859,5,3,4,0.01174322966258296,9.51150941695309,0.7243490306487589,0.904360102418762,0.38189791899862735,906.8,COMPLETE
25,0.8153686874496722,2026-04-24 01:25:48.237461,2026-04-24 01:25:55.191792,0 days 00:00:06.954331,0.7225520799524687,0.929848334055859,0.559686276168297,0.013356846272647504,0,3,6,0.003858173710197622,0.07839806177658115,0.6611104796460608,0.9038980587123968,0.38274995417681223,1682.2,COMPLETE
26,0.814333371678362,2026-04-24 01:25:55.193747,2026-04-24 01:25:57.924007,0 days 00:00:02.730260,0.862329753936912,0.8955329379791899,1.9351136277460355,0.04005140535361685,1,5,9,0.5269730070917201,0.006441570879779409,0.7755220069032083,0.90479366706068,0.3805793068721107,280.2,COMPLETE
27,0.8149085471068676,2026-04-24 01:25:57.926384,2026-04-24 01:26:03.308264,0 days 00:00:05.381880,0.6946238210201418,0.9608545110074733,2.6702328915905773,0.01865940655905512,5,5,7,0.01946445870272571,9.901798296888929,0.7065605662874556,0.9046639496862804,0.38084715006855097,972.4,COMPLETE
28,0.814448406764063,2026-04-24 01:26:03.310355,2026-04-24 01:26:08.590591,0 days 00:00:05.280236,0.8332811453107114,0.7334379361028801,0.09122901096572522,0.014485834387542565,0,7,12,0.1347497000377214,0.06731662756741746,0.8240038463326079,0.9052066928977553,0.3793408168567827,572.2,COMPLETE
29,0.8135281260784539,2026-04-24 01:26:08.592610,2026-04-24 01:26:11.686293,0 days 00:00:03.093683,0.9425542536192419,0.7334924090580138,0.13009368156527812,0.03967911434793075,2,5,10,0.006784270371637524,2.269017088914946,0.743900535848309,0.9048528749297949,0.38045869290542883,334.8,COMPLETE
30,0.816864143563787,2026-04-24 01:26:11.688734,2026-04-24 01:26:14.989560,0 days 00:00:03.300826,0.8232390875774298,0.9649753735945233,1.570974125068537,0.03694057345463545,0,5,6,0.06627844507592223,0.32150418623413984,0.6991252546559016,0.905150211184438,0.3797537846182218,307.6,COMPLETE
31,0.8151386172782699,2026-04-24 01:26:14.991595,2026-04-24 01:26:19.357961,0 days 00:00:04.366366,0.8665312656949269,0.98314482261648,1.799695754822967,0.0230697441951723,0,4,2,0.2678229928425727,0.18326733044279658,0.6468590887661123,0.9051056927955907,0.37990870593056747,652.4,COMPLETE
32,0.8145634418497641,2026-04-24 01:26:19.359982,2026-04-24 01:26:22.623130,0 days 00:00:03.263148,0.7751778437977649,0.9099110168573372,1.6892997719688496,0.030928186446147705,3,7,2,0.0026075880805888174,3.29209204573876,0.7658681023430743,0.9053678801677195,0.37926576747062746,281.6,COMPLETE
33,0.8109973541930289,2026-04-24 01:26:22.625115,2026-04-24 01:26:25.084252,0 days 00:00:02.459137,0.8593607767019996,0.9809050341044802,3.588666867014911,0.04278653328949304,2,7,13,0.050428354068844626,0.3409823586877489,0.7518526674899186,0.9037907858051449,0.38227495949896934,340.6,COMPLETE
34,0.8137581962498562,2026-04-24 01:26:25.086537,2026-04-24 01:26:29.319257,0 days 00:00:04.232720,0.873432300774089,0.8744686451923717,0.63668095102626,0.023624193284164978,0,3,13,0.3313493957723167,0.10543043321983282,0.7931550095842925,0.9027335931739175,0.3848056627822147,871.6,COMPLETE
